year,firstname,count
2018,OLIVER,"5,390"
2018,GEORGE,"4,960"
2018,HARRY,"4,512"
2018,NOAH,"4,107"
2018,JACK,"3,988"
2018,LEO,"3,721"
2018,ARTHUR,"3,644"
2018,MUHAMMAD,"3,507"
2018,OSCAR,"3,459"
2018,CHARLIE,"3,365"
2018,JACOB,"3,350"
2018,THOMAS,"3,243"
2018,HENRY,"3,172"
2018,WILLIAM,"3,015"
2018,ALFIE,"2,977"
2018,ARCHIE,"2,950"
2018,JOSHUA,"2,922"
2018,FREDDIE,"2,838"
2018,THEO,"2,741"
2018,ISAAC,"2,578"
2018,JAMES,"2,536"
2018,ALEXANDER,"2,517"
2018,LOGAN,"2,320"
2018,EDWARD,"2,197"
2018,ETHAN,"2,106"
2018,LUCAS,"2,098"
2018,JOSEPH,"1,989"
2018,SEBASTIAN,"1,964"
2018,THEODORE,"1,932"
2018,FINLEY,"1,926"
2018,MAX,"1,867"
2018,MOHAMMED,"1,846"
2018,SAMUEL,"1,788"
2018,HARRISON,"1,765"
2018,BENJAMIN,"1,743"
2018,ARLO,"1,715"
2018,DANIEL,"1,676"
2018,ADAM,"1,672"
2018,TEDDY,"1,663"
2018,MASON,"1,540"
2018,ELIJAH,"1,519"
2018,REUBEN,"1,504"
2018,DYLAN,"1,465"
2018,HUNTER,"1,410"
2018,REGGIE,"1,356"
2018,JAXON,"1,346"
2018,RORY,"1,323"
2018,LOUIE,"1,319"
2018,DAVID,"1,307"
2018,TOMMY,"1,299"
2018,LUCA,"1,291"
2018,ALBIE,"1,284"
2018,HUGO,"1,279"
2018,ZACHARY,"1,265"
2018,ALBERT,"1,264"
2018,JUDE,"1,182"
2018,TOBY,"1,178"
2018,RILEY,"1,168"
2018,EZRA,"1,118"
2018,CARTER,"1,030"
2018,GABRIEL,"1,022"
2018,ROMAN,"1,018"
2018,FRANKIE,"1,013"
2018,HARLEY,"1,011"
2018,FREDERICK,"1,010"
2018,RONNIE,989
2018,JAKE,988
2018,ELLIOT,945
2018,LOUIS,941
2018,JENSON,912
2018,MOHAMMAD,880
2018,STANLEY,877
2018,BOBBY,872
2018,MICHAEL,869
2018,JESSE,861
2018,FINN,817
2018,JAYDEN,792
2018,HARVEY,779
2018,CALEB,776
2018,JACKSON,764
2018,CHARLES,758
2018,MATTHEW,757
2018,GRAYSON,742
2018,BLAKE,733
2018,LIAM,731
2018,ELLIOTT,728
2018,ELLIS,726
2018,RALPH,719
2018,JASPER,708
2018,ROWAN,708
2018,ALEX,696
2018,RYAN,696
2018,FELIX,689
2018,LUKE,677
2018,DEXTER,676
2018,OLLIE,659
2018,LEON,655
2018,TOBIAS,647
2018,SONNY,640
2018,DOMINIC,634
2018,KAI,634
2018,NATHAN,633
2018,IBRAHIM,621
2018,LEWIS,619
2018,YUSUF,617
2018,ALFRED,616
2018,RUPERT,597
2018,TYLER,595
2018,AUSTIN,592
2018,MILO,557
2018,ELI,556
2018,CHESTER,555
2018,AARON,543
2018,HUDSON,541
2018,PATRICK,518
2018,BRODY,514
2018,ROBERT,507
2018,OWEN,506
2018,LEONARDO,504
2018,OAKLEY,500
2018,AIDEN,498
2018,JOHN,486
2018,ELIAS,471
2018,ERIC,470
2018,LINCOLN,462
2018,CONNOR,461
2018,AYAAN,453
2018,JAMIE,452
2018,MUSA,452
2018,JOEL,447
2018,NATHANIEL,440
2018,RUBEN,435
2018,ALI,428
2018,SETH,428
2018,CALLUM,426
2018,COOPER,417
2018,PARKER,417
2018,EVAN,415
2018,COLE,413
2018,BILLY,407
2018,MYLES,404
2018,JAXSON,399
2018,MAXWELL,399
2018,JONAH,387
2018,VINCENT,384
2018,WILFRED,383
2018,JOEY,382
2018,MUHAMMED,382
2018,MAXIMILIAN,381
2018,JAX,377
2018,VINNIE,377
2018,LENNY,372
2018,CODY,368
2018,LEVI,366
2018,FRANK,360
2018,FINLAY,359
2018,NICHOLAS,356
2018,ANTHONY,355
2018,KIAN,355
2018,REX,355
2018,AIDAN,352
2018,KEVIN,347
2018,SPENCER,345
2018,ROCCO,344
2018,KAYDEN,343
2018,FILIP,336
2018,TED,333
2018,CHRISTOPHER,332
2018,JAKUB,329
2018,MILES,326
2018,SYED,321
2018,ABDULLAH,314
2018,YAHYA,312
2018,JASON,311
2018,ROBIN,303
2018,XANDER,301
2018,CAMERON,299
2018,ISAIAH,299
2018,MARLEY,294
2018,TRISTAN,293
2018,RIVER,292
2018,EESA,289
2018,RAPHAEL,288
2018,MOHAMED,285
2018,AHMED,284
2018,ANDREW,284
2018,MAXIMUS,283
2018,BODHI,282
2018,ZAYN,281
2018,RAYAN,280
2018,ABDUL,278
2018,OTIS,277
2018,KIT,274
2018,OMAR,271
2018,ZAKARIYA,271
2018,ARCHER,269
2018,BRADLEY,269
2018,BRODIE,269
2018,PETER,269
2018,RHYS,269
2018,BEAU,268
2018,BAILEY,266
2018,JORDAN,265
2018,RAFAEL,265
2018,ZAC,264
2018,HAMZA,262
2018,SAM,261
2018,ANTONI,260
2018,EDEN,260
2018,LUKAS,259
2018,ENZO,248
2018,IDRIS,248
2018,HAYDEN,246
2018,OSKAR,246
2018,SIDNEY,245
2018,KAIDEN,243
2018,ASHER,240
2018,EDDIE,240
2018,JOSIAH,238
2018,ABEL,235
2018,CHRISTIAN,234
2018,MARCEL,234
2018,LORENZO,233
2018,XAVIER,232
2018,MARTIN,231
2018,FRASER,230
2018,RIO,227
2018,COREY,226
2018,MUSTAFA,225
2018,LENNON,224
2018,ADRIAN,222
2018,ASHTON,221
2018,MATEI,221
2018,REMY,221
2018,VICTOR,220
2018,MARCUS,219
2018,OTTO,219
2018,FRANCIS,217
2018,JENSEN,217
2018,JONATHAN,217
2018,QUINN,217
2018,FLYNN,216
2018,ROHAN,214
2018,AXEL,213
2018,LEONARD,213
2018,ZAIN,213
2018,CONOR,210
2018,JAN,207
