forename,forename2,freq
edw,ted,0.066666667
edw,ned,0.066666667
edw,edwin,0.066666667
edw,edwark,0.066666667
edw,edwards,0.066666667
edw,edward,0.066666667
edw,eduardo,0.066666667
edw,teddie,0.066666667
edw,edmund,0.066666667
edw,edmond,0.066666667
edw,edgar,0.066666667
edw,eddy,0.066666667
edw,eddie,0.066666667
edw,edd,0.066666667
edw,ed,0.066666667
aaron,arran,0.333333333
aaron,arren,0.333333333
aaron,aron,0.333333333
abe,abram,0.333333333
abe,abraham,0.333333333
abe,abramo,0.333333333
abraham,abram,0.333333333
abraham,abe,0.333333333
abraham,abramo,0.333333333
abram,abraham,0.333333333
abram,abe,0.333333333
abram,abramo,0.333333333
abramo,abram,0.333333333
abramo,abraham,0.333333333
abramo,abe,0.333333333
adam,addam,0.5
adam,adamo,0.5
adamo,adam,0.5
adamo,addam,0.5
addam,adam,0.5
addam,adamo,0.5
adolf,adolph,1
adolph,adolf,1
adrian,adrien,0.5
adrian,adriano,0.5
adriano,adrien,0.5
adriano,adrian,0.5
adrien,adrian,0.5
adrien,adriano,0.5
affie,alphonso,1
agosto,austen,0.166666667
agosto,august,0.166666667
agosto,auguste,0.166666667
agosto,augie,0.166666667
agosto,augustine,0.166666667
agosto,augustus,0.166666667
aian,ian,0.25
aian,eon,0.25
aian,eoin,0.25
aian,ean,0.25
aidan,aiden,1
aiden,aidan,1
aksel,axel,1
alan,albie,0.25
alan,alen,0.25
alan,alano,0.25
alan,allan,0.25
alano,albie,0.25
alano,alan,0.25
alano,alen,0.25
alano,allan,0.25
alastair,allister,0.333333333
alastair,alistair,0.333333333
alastair,alister,0.333333333
albert,bertie,0.333333333
albert,alberto,0.333333333
albert,bert,0.333333333
alberto,bertie,0.333333333
alberto,bert,0.333333333
alberto,albert,0.333333333
albie,alan,0.25
albie,alen,0.25
albie,alano,0.25
albie,allan,0.25
alec,alexi,0.083333333
alec,alick,0.083333333
alec,alexnder,0.083333333
alec,alexandrovi,0.083333333
alec,alexandros,0.083333333
alec,alexandre,0.083333333
alec,alexander,0.083333333
alec,lexi,0.083333333
alec,alessandro,0.083333333
alec,aleksandr,0.083333333
alec,aleksander,0.083333333
alec,aleksandar,0.083333333
aleksandar,alexi,0.083333333
aleksandar,alick,0.083333333
aleksandar,alexnder,0.083333333
aleksandar,alexandrovi,0.083333333
aleksandar,alexandros,0.083333333
aleksandar,alexandre,0.083333333
aleksandar,alexander,0.083333333
aleksandar,lexi,0.083333333
aleksandar,alessandro,0.083333333
aleksandar,aleksandr,0.083333333
aleksandar,aleksander,0.083333333
aleksandar,alec,0.083333333
aleksander,alexi,0.083333333
aleksander,alick,0.083333333
aleksander,alexnder,0.083333333
aleksander,alexandrovi,0.083333333
aleksander,alexandros,0.083333333
aleksander,alexandre,0.083333333
aleksander,alexander,0.083333333
aleksander,lexi,0.083333333
aleksander,alessandro,0.083333333
aleksander,aleksandr,0.083333333
aleksander,aleksandar,0.083333333
aleksander,alec,0.083333333
aleksandr,alexi,0.083333333
aleksandr,alick,0.083333333
aleksandr,alexnder,0.083333333
aleksandr,alexandrovi,0.083333333
aleksandr,alexandros,0.083333333
aleksandr,alexandre,0.083333333
aleksandr,alexander,0.083333333
aleksandr,lexi,0.083333333
aleksandr,alessandro,0.083333333
aleksandr,aleksander,0.083333333
aleksandr,aleksandar,0.083333333
aleksandr,alec,0.083333333
alen,albie,0.25
alen,alan,0.25
alen,alano,0.25
alen,allan,0.25
alessandro,alexi,0.083333333
alessandro,alick,0.083333333
alessandro,alexnder,0.083333333
alessandro,alexandrovi,0.083333333
alessandro,alexandros,0.083333333
alessandro,alexandre,0.083333333
alessandro,alexander,0.083333333
alessandro,lexi,0.083333333
alessandro,aleksandr,0.083333333
alessandro,aleksander,0.083333333
alessandro,aleksandar,0.083333333
alessandro,alec,0.083333333
alexander,alexi,0.083333333
alexander,alick,0.083333333
alexander,alexnder,0.083333333
alexander,alexandrovi,0.083333333
alexander,alexandros,0.083333333
alexander,alexandre,0.083333333
alexander,lexi,0.083333333
alexander,alessandro,0.083333333
alexander,aleksandr,0.083333333
alexander,aleksander,0.083333333
alexander,aleksandar,0.083333333
alexander,alec,0.083333333
alexandre,alexi,0.083333333
alexandre,alick,0.083333333
alexandre,alexnder,0.083333333
alexandre,alexandrovi,0.083333333
alexandre,alexandros,0.083333333
alexandre,alexander,0.083333333
alexandre,lexi,0.083333333
alexandre,alessandro,0.083333333
alexandre,aleksandr,0.083333333
alexandre,aleksander,0.083333333
alexandre,aleksandar,0.083333333
alexandre,alec,0.083333333
alexandros,alexi,0.083333333
alexandros,alick,0.083333333
alexandros,alexnder,0.083333333
alexandros,alexandrovi,0.083333333
alexandros,alexandre,0.083333333
alexandros,alexander,0.083333333
alexandros,lexi,0.083333333
alexandros,alessandro,0.083333333
alexandros,aleksandr,0.083333333
alexandros,aleksander,0.083333333
alexandros,aleksandar,0.083333333
alexandros,alec,0.083333333
alexandrovi,alexi,0.083333333
alexandrovi,alick,0.083333333
alexandrovi,alexnder,0.083333333
alexandrovi,alexandros,0.083333333
alexandrovi,alexandre,0.083333333
alexandrovi,alexander,0.083333333
alexandrovi,lexi,0.083333333
alexandrovi,alessandro,0.083333333
alexandrovi,aleksandr,0.083333333
alexandrovi,aleksander,0.083333333
alexandrovi,aleksandar,0.083333333
alexandrovi,alec,0.083333333
alexi,alick,0.083333333
alexi,alexnder,0.083333333
alexi,alexandrovi,0.083333333
alexi,alexandros,0.083333333
alexi,alexandre,0.083333333
alexi,alexander,0.083333333
alexi,lexi,0.083333333
alexi,alessandro,0.083333333
alexi,aleksandr,0.083333333
alexi,aleksander,0.083333333
