forename,forename2,cumprop,sex
edw,ted,0.066666667,male
edw,ned,0.133333333,male
edw,edwin,0.2,male
edw,edwark,0.266666667,male
edw,edwards,0.333333333,male
edw,edward,0.4,male
edw,eduardo,0.466666667,male
edw,teddie,0.533333333,male
edw,edmund,0.6,male
edw,edmond,0.666666667,male
edw,edgar,0.733333333,male
edw,eddy,0.8,male
edw,eddie,0.866666667,male
edw,edd,0.933333333,male
edw,ed,1,male
aaron,arran,0.333333333,male
aaron,arren,0.666666667,male
aaron,aron,1,male
abe,abram,0.333333333,male
abe,abraham,0.666666667,male
abe,abramo,1,male
abraham,abram,0.333333333,male
abraham,abe,0.666666667,male
abraham,abramo,1,male
abram,abraham,0.333333333,male
abram,abe,0.666666667,male
abram,abramo,1,male
abramo,abram,0.333333333,male
abramo,abraham,0.666666667,male
abramo,abe,1,male
adam,addam,0.5,male
adam,adamo,1,male
adamo,adam,0.5,male
adamo,addam,1,male
addam,adam,0.5,male
addam,adamo,1,male
adolf,adolph,1,male
adolph,adolf,1,male
adrian,adrien,0.5,male
adrian,adriano,1,male
adriano,adrien,0.5,male
adriano,adrian,1,male
adrien,adrian,0.5,male
adrien,adriano,1,male
affie,alphonso,1,male
agosto,austen,0.166666667,male
agosto,august,0.333333333,male
agosto,auguste,0.5,male
agosto,augie,0.666666667,male
agosto,augustine,0.833333333,male
agosto,augustus,1,male
aian,ian,0.25,male
aian,eon,0.5,male
aian,eoin,0.75,male
aian,ean,1,male
aidan,aiden,1,male
aiden,aidan,1,male
aksel,axel,1,male
alan,albie,0.25,male
alan,alen,0.5,male
alan,alano,0.75,male
alan,allan,1,male
alano,albie,0.25,male
alano,alan,0.5,male
alano,alen,0.75,male
alano,allan,1,male
alastair,allister,0.333333333,male
alastair,alistair,0.666666667,male
alastair,alister,1,male
albert,bertie,0.333333333,male
albert,alberto,0.666666667,male
albert,bert,1,male
alberto,bertie,0.333333333,male
alberto,bert,0.666666667,male
alberto,albert,1,male
albie,alan,0.25,male
albie,alen,0.5,male
albie,alano,0.75,male
albie,allan,1,male
alec,alexi,0.083333333,male
alec,alick,0.166666667,male
alec,alexnder,0.25,male
alec,alexandrovi,0.333333333,male
alec,alexandros,0.416666667,male
alec,alexandre,0.5,male
alec,alexander,0.583333333,male
alec,lexi,0.666666667,male
alec,alessandro,0.75,male
alec,aleksandr,0.833333333,male
alec,aleksander,0.916666667,male
alec,aleksandar,1,male
aleksandar,alexi,0.083333333,male
aleksandar,alick,0.166666667,male
aleksandar,alexnder,0.25,male
aleksandar,alexandrovi,0.333333333,male
aleksandar,alexandros,0.416666667,male
aleksandar,alexandre,0.5,male
aleksandar,alexander,0.583333333,male
aleksandar,lexi,0.666666667,male
aleksandar,alessandro,0.75,male
aleksandar,aleksandr,0.833333333,male
aleksandar,aleksander,0.916666667,male
aleksandar,alec,1,male
aleksander,alexi,0.083333333,male
aleksander,alick,0.166666667,male
aleksander,alexnder,0.25,male
aleksander,alexandrovi,0.333333333,male
aleksander,alexandros,0.416666667,male
aleksander,alexandre,0.5,male
aleksander,alexander,0.583333333,male
aleksander,lexi,0.666666667,male
aleksander,alessandro,0.75,male
aleksander,aleksandr,0.833333333,male
aleksander,aleksandar,0.916666667,male
aleksander,alec,1,male
aleksandr,alexi,0.083333333,male
aleksandr,alick,0.166666667,male
aleksandr,alexnder,0.25,male
aleksandr,alexandrovi,0.333333333,male
aleksandr,alexandros,0.416666667,male
aleksandr,alexandre,0.5,male
aleksandr,alexander,0.583333333,male
aleksandr,lexi,0.666666667,male
aleksandr,alessandro,0.75,male
aleksandr,aleksander,0.833333333,male
aleksandr,aleksandar,0.916666667,male
aleksandr,alec,1,male
alen,albie,0.25,male
alen,alan,0.5,male
alen,alano,0.75,male
alen,allan,1,male
alessandro,alexi,0.083333333,male
alessandro,alick,0.166666667,male
alessandro,alexnder,0.25,male
alessandro,alexandrovi,0.333333333,male
alessandro,alexandros,0.416666667,male
alessandro,alexandre,0.5,male
alessandro,alexander,0.583333333,male
alessandro,lexi,0.666666667,male
alessandro,aleksandr,0.75,male
alessandro,aleksander,0.833333333,male
alessandro,aleksandar,0.916666667,male
alessandro,alec,1,male
alexander,alexi,0.083333333,male
alexander,alick,0.166666667,male
alexander,alexnder,0.25,male
alexander,alexandrovi,0.333333333,male
alexander,alexandros,0.416666667,male
alexander,alexandre,0.5,male
alexander,lexi,0.583333333,male
alexander,alessandro,0.666666667,male
alexander,aleksandr,0.75,male
alexander,aleksander,0.833333333,male
alexander,aleksandar,0.916666667,male
alexander,alec,1,male
alexandre,alexi,0.083333333,male
alexandre,alick,0.166666667,male
alexandre,alexnder,0.25,male
alexandre,alexandrovi,0.333333333,male
alexandre,alexandros,0.416666667,male
alexandre,alexander,0.5,male
alexandre,lexi,0.583333333,male
alexandre,alessandro,0.666666667,male
alexandre,aleksandr,0.75,male
alexandre,aleksander,0.833333333,male
alexandre,aleksandar,0.916666667,male
alexandre,alec,1,male
alexandros,alexi,0.083333333,male
alexandros,alick,0.166666667,male
alexandros,alexnder,0.25,male
alexandros,alexandrovi,0.333333333,male
alexandros,alexandre,0.416666667,male
alexandros,alexander,0.5,male
alexandros,lexi,0.583333333,male
alexandros,alessandro,0.666666667,male
alexandros,aleksandr,0.75,male
alexandros,aleksander,0.833333333,male
alexandros,aleksandar,0.916666667,male
alexandros,alec,1,male
alexandrovi,alexi,0.083333333,male
alexandrovi,alick,0.166666667,male
alexandrovi,alexnder,0.25,male
alexandrovi,alexandros,0.333333333,male
alexandrovi,alexandre,0.416666667,male
alexandrovi,alexander,0.5,male
alexandrovi,lexi,0.583333333,male
alexandrovi,alessandro,0.666666667,male
alexandrovi,aleksandr,0.75,male
alexandrovi,aleksander,0.833333333,male
alexandrovi,aleksandar,0.916666667,male
alexandrovi,alec,1,male
alexi,alick,0.083333333,male
alexi,alexnder,0.166666667,male
alexi,alexandrovi,0.25,male
alexi,alexandros,0.333333333,male
alexi,alexandre,0.416666667,male
alexi,alexander,0.5,male
alexi,lexi,0.583333333,male
alexi,alessandro,0.666666667,male
alexi,aleksandr,0.75,male
alexi,aleksander,0.833333333,male
alexi,aleksandar,0.916666667,male
alexi,alec,1,male
alexnder,alexi,0.083333333,male
alexnder,alick,0.166666667,male
alexnder,alexandrovi,0.25,male
alexnder,alexandros,0.333333333,male
alexnder,alexandre,0.416666667,male
alexnder,alexander,0.5,male
alexnder,lexi,0.583333333,male
alexnder,alessandro,0.666666667,male
alexnder,aleksandr,0.75,male
alexnder,aleksander,0.833333333,male
alexnder,aleksandar,0.916666667,male
alexnder,alec,1,male
alf,alfredo,0.142857143,male
alf,alfred,0.285714286,male
alf,fred,0.428571429,male
alf,fredo,0.571428571,male
alf,alfee,0.714285714,male
alf,alfreda,0.857142857,male
alf,alfie,1,male
alfee,alfredo,0.142857143,male
alfee,alfred,0.285714286,male
alfee,fred,0.428571429,male
alfee,fredo,0.571428571,male
alfee,alfreda,0.714285714,male
alfee,alf,0.857142857,male
alfee,alfie,1,male
alfie,alfredo,0.142857143,male
alfie,alfred,0.285714286,male
alfie,fred,0.428571429,male
alfie,fredo,0.571428571,male
alfie,alfee,0.714285714,male
alfie,alfreda,0.857142857,male
alfie,alf,1,male
alfred,alfredo,0.142857143,male
alfred,fred,0.285714286,male
alfred,fredo,0.428571429,male
alfred,alfee,0.571428571,male
alfred,alfreda,0.714285714,male
alfred,alf,0.857142857,male
alfred,alfie,1,male
alfreda,alfredo,0.142857143,male
alfreda,alfred,0.285714286,male
alfreda,fred,0.428571429,male
alfreda,fredo,0.571428571,male
alfreda,alfee,0.714285714,male
alfreda,alf,0.857142857,male
alfreda,alfie,1,male
alfredo,alfred,0.142857143,male
alfredo,fred,0.285714286,male
alfredo,fredo,0.428571429,male
alfredo,alfee,0.571428571,male
alfredo,alfreda,0.714285714,male
alfredo,alf,0.857142857,male
alfredo,alfie,1,male
alick,alexi,0.083333333,male
alick,alexnder,0.166666667,male
alick,alexandrovi,0.25,male
alick,alexandros,0.333333333,male
alick,alexandre,0.416666667,male
alick,alexander,0.5,male
alick,lexi,0.583333333,male
alick,alessandro,0.666666667,male
alick,aleksandr,0.75,male
alick,aleksander,0.833333333,male
alick,aleksandar,0.916666667,male
alick,alec,1,male
alistair,allister,0.333333333,male
alistair,alastair,0.666666667,male
alistair,alister,1,male
alister,allister,0.333333333,male
alister,alistair,0.666666667,male
alister,alastair,1,male
allan,albie,0.25,male
allan,alan,0.5,male
allan,alen,0.75,male
allan,alano,1,male
allister,alistair,0.333333333,male
allister,alastair,0.666666667,male
allister,alister,1,male
aloysius,luigi,0.125,male
aloysius,ludwig,0.25,male
aloysius,lou,0.375,male
aloysius,louis,0.5,male
aloysius,loui,0.625,male
aloysius,lewis,0.75,male
aloysius,lodovico,0.875,male
aloysius,lew,1,male
alphonso,affie,1,male
alveen,alwine,0.5,male
alveen,alvin,1,male
alvin,alwine,0.5,male
alvin,alveen,1,male
alwine,alveen,0.5,male
alwine,alvin,1,male
andre,andy,0.333333333,male
andre,andrew,0.666666667,male
andre,andreas,1,male
andreas,andy,0.333333333,male
andreas,andrew,0.666666667,male
andreas,andre,1,male
andrew,andy,0.333333333,male
andrew,andre,0.666666667,male
andrew,andreas,1,male
andy,andrew,0.333333333,male
andy,andre,0.666666667,male
andy,andreas,1,male
angus,gus,1,male
anthon,antionus,0.071428571,male
anthon,antonio,0.142857143,male
anthon,antone,0.214285714,male
anthon,toni,0.285714286,male
anthon,anton,0.357142857,male
anthon,antoni,0.428571429,male
anthon,antony,0.5,male
anthon,anthoy,0.571428571,male
anthon,anthonius,0.642857143,male
anthon,anthony,0.714285714,male
anthon,anthonious,0.785714286,male
anthon,anthoni,0.857142857,male
anthon,anthoney,0.928571429,male
anthon,anthonie,1,male
anthoney,anthon,0.071428571,male
anthoney,antionus,0.142857143,male
anthoney,antonio,0.214285714,male
anthoney,antone,0.285714286,male
anthoney,toni,0.357142857,male
anthoney,anton,0.428571429,male
anthoney,antoni,0.5,male
anthoney,antony,0.571428571,male
anthoney,anthoy,0.642857143,male
anthoney,anthonius,0.714285714,male
anthoney,anthony,0.785714286,male
anthoney,anthonious,0.857142857,male
anthoney,anthoni,0.928571429,male
anthoney,anthonie,1,male
anthoni,anthon,0.071428571,male
anthoni,antionus,0.142857143,male
anthoni,antonio,0.214285714,male
anthoni,antone,0.285714286,male
anthoni,toni,0.357142857,male
anthoni,anton,0.428571429,male
anthoni,antoni,0.5,male
anthoni,antony,0.571428571,male
anthoni,anthoy,0.642857143,male
anthoni,anthonius,0.714285714,male
anthoni,anthony,0.785714286,male
anthoni,anthonious,0.857142857,male
anthoni,anthoney,0.928571429,male
anthoni,anthonie,1,male
anthonie,anthon,0.071428571,male
anthonie,antionus,0.142857143,male
anthonie,antonio,0.214285714,male
anthonie,antone,0.285714286,male
anthonie,toni,0.357142857,male
anthonie,anton,0.428571429,male
anthonie,antoni,0.5,male
anthonie,antony,0.571428571,male
anthonie,anthoy,0.642857143,male
anthonie,anthonius,0.714285714,male
anthonie,anthony,0.785714286,male
anthonie,anthonious,0.857142857,male
anthonie,anthoni,0.928571429,male
anthonie,anthoney,1,male
anthonious,anthon,0.071428571,male
anthonious,antionus,0.142857143,male
anthonious,antonio,0.214285714,male
anthonious,antone,0.285714286,male
anthonious,toni,0.357142857,male
anthonious,anton,0.428571429,male
anthonious,antoni,0.5,male
anthonious,antony,0.571428571,male
