year,firstname,count
2018,OLIVIA,"4,598"
2018,AMELIA,"3,941"
2018,AVA,"3,110"
2018,ISLA,"3,046"
2018,EMILY,"2,676"
2018,MIA,"2,490"
2018,ISABELLA,"2,369"
2018,SOPHIA,"2,344"
2018,ELLA,"2,326"
2018,GRACE,"2,301"
2018,POPPY,"2,226"
2018,CHARLOTTE,"2,202"
2018,LILY,"2,184"
2018,IVY,"2,104"
2018,FLORENCE,"2,062"
2018,EVIE,"2,052"
2018,SOPHIE,"2,007"
2018,FREYA,"1,921"
2018,EVELYN,"1,902"
2018,WILLOW,"1,900"
2018,PHOEBE,"1,883"
2018,ELSIE,"1,875"
2018,SIENNA,"1,834"
2018,ALICE,"1,827"
2018,JESSICA,"1,812"
2018,ROSIE,"1,808"
2018,HARPER,"1,796"
2018,DAISY,"1,769"
2018,SOFIA,"1,728"
2018,ISABELLE,"1,701"
2018,MATILDA,"1,618"
2018,RUBY,"1,531"
2018,EVA,"1,409"
2018,EMILIA,"1,398"
2018,SCARLETT,"1,393"
2018,CHLOE,"1,375"
2018,MAYA,"1,260"
2018,ESME,"1,234"
2018,ELIZA,"1,220"
2018,MILLIE,"1,196"
2018,IMOGEN,"1,179"
2018,ARIA,"1,178"
2018,LUNA,"1,162"
2018,LAYLA,"1,152"
2018,HARRIET,"1,128"
2018,MAISIE,"1,089"
2018,ELIZABETH,"1,076"
2018,PENELOPE,"1,068"
2018,MILA,"1,050"
2018,ERIN,"1,024"
2018,ELEANOR,985
2018,LOLA,982
2018,VIOLET,970
2018,BELLA,969
2018,ROSE,960
2018,EMMA,957
2018,HOLLY,957
2018,MOLLY,929
2018,THEA,920
2018,ELLIE,919
2018,LUCY,910
2018,HANNAH,849
2018,LOTTIE,824
2018,NANCY,819
2018,ADA,811
2018,MARIA,799
2018,LILLY,785
2018,ZARA,765
2018,AURORA,752
2018,AMBER,751
2018,GEORGIA,747
2018,ROBYN,742
2018,GRACIE,719
2018,SUMMER,718
2018,JASMINE,703
2018,ANNABELLE,695
2018,ABIGAIL,690
2018,DARCIE,686
2018,HALLIE,680
2018,AMELIE,653
2018,BONNIE,645
2018,IRIS,634
2018,MARYAM,634
2018,BEATRICE,629
2018,ANNA,628
2018,HEIDI,621
2018,ORLA,621
2018,ARABELLA,619
2018,CLARA,609
2018,DELILAH,601
2018,EDITH,599
2018,AISHA,568
2018,FRANCESCA,567
2018,MARTHA,560
2018,AYLA,556
2018,ZOE,546
2018,LYLA,539
2018,SARA,535
2018,MARGOT,534
2018,FELICITY,522
2018,VICTORIA,518
2018,NEVAEH,514
2018,SARAH,503
2018,DARCY,501
2018,SAVANNAH,493
2018,MABEL,491
2018,ELOISE,482
2018,EDIE,480
2018,ESMAE,480
2018,LARA,474
2018,JULIA,472
2018,PIPPA,470
2018,MYLA,467
2018,LEXI,466
2018,EDEN,465
2018,DARCEY,464
2018,ALEXANDRA,463
2018,MADDISON,461
2018,ARIANA,458
2018,OLIVE,457
2018,FATIMA,449
2018,ANNIE,438
2018,AMAYA,435
2018,MOLLIE,423
2018,AUTUMN,420
2018,MEGAN,410
2018,MYA,410
2018,AALIYAH,406
2018,NIAMH,406
2018,LYDIA,398
2018,MADISON,395
2018,ELENA,393
2018,FRANKIE,393
2018,SKYE,391
2018,FAITH,390
2018,LEAH,389
2018,GABRIELLA,385
2018,ISABEL,381
2018,HOPE,379
2018,BETHANY,370
2018,BROOKE,368
2018,LYRA,362
2018,ELODIE,360
2018,ZAINAB,360
2018,BETSY,357
2018,ISOBEL,357
2018,ANAYA,356
2018,ARYA,352
2018,MARNIE,348
2018,SADIE,346
2018,NINA,345
2018,SKYLAR,345
2018,BEATRIX,344
2018,LENA,343
2018,LACEY,340
2018,ANASTASIA,339
2018,ROSA,339
2018,CORA,336
2018,HANNA,336
2018,HOLLIE,336
2018,OPHELIA,335
2018,ZAHRA,333
2018,TILLY,330
2018,NATALIA,327
2018,OTTILIE,327
2018,PIPER,323
2018,KHADIJA,321
2018,PAIGE,321
2018,LAURA,318
2018,INAAYA,317
2018,MAGGIE,313
2018,PAISLEY,313
2018,ESTHER,312
2018,CONNIE,311
2018,GEORGIE,310
2018,MAIA,309
2018,LILIANA,304
2018,NAOMI,299
2018,HAZEL,293
2018,NELLIE,291
2018,SEREN,290
2018,AOIFE,289
2018,EVE,286
2018,POLLY,284
2018,AMARA,283
2018,REBECCA,282
2018,KATIE,281
2018,RIVER,281
2018,AMY,278
2018,LILLIE,278
2018,SKYLA,278
2018,CLEO,277
2018,MAJA,277
2018,INDIA,275
2018,ALICIA,270
2018,ALBA,269
2018,NORA,267
2018,PENNY,260
2018,AIZAH,259
2018,AMIRA,259
2018,ZOYA,258
2018,ZUZANNA,258
2018,ELIANA,256
2018,ALAYNA,255
2018,TABITHA,255
2018,LUCIA,254
2018,KEIRA,251
2018,NOVA,251
2018,KHADIJAH,247
2018,SAFA,246
2018,ALIZA,245
2018,AURELIA,241
2018,PRIMROSE,239
2018,CALLIE,237
2018,LOIS,236
2018,ALANA,235
2018,ELISE,235
2018,HATTIE,235
2018,APRIL,233
2018,GEORGINA,232
2018,LEILA,231
2018,MELISSA,229
2018,KIARA,228
2018,ANTONIA,227
2018,NICOLE,225
2018,ANYA,224
2018,ANNABEL,222
2018,HALLE,221
2018,ALYSSA,218
2018,BELLE,218
2018,INDIE,218
2018,NEVE,218
2018,WREN,216
2018,HANIYA,215
2018,HARLOW,214
2018,EFFIE,213
2018,ZOFIA,212
2018,HARLEY,211
2018,ATHENA,210
2018,AYDA,210
2018,VALENTINA,210
2018,HANA,209
2018,EMMIE,208
2018,TALIA,208
2018,MARIAM,207
2018,DOROTHY,206
2018,PEARL,206
2018,LIBBY,205
2018,LILAH,199
2018,MADELEINE,197
2018,AMINA,195
2018,AYESHA,193
2018,JOSEPHINE,193
2018,AMELIA-ROSE,191
2018,ARIELLA,191
