surname,freq
smith,0.01302
jones,0.01032
taylor,0.00817
williams,0.00734
brown,0.00679
davies,0.00566
evans,0.00414
wilson,0.00406
thomas,0.00393
roberts,0.00392
johnson,0.00384
lewis,0.00354
walker,0.00349
robinson,0.00335
wood,0.00333
thompson,0.00327
white,0.00325
watson,0.00324
jackson,0.00309
wright,0.00307
green,0.00297
harris,0.00288
cooper,0.00288
king,0.00287
lee,0.00285
martin,0.00273
clarke,0.00272
james,0.00272
morgan,0.00268
hughes,0.00264
edwards,0.00264
hill,0.0026
moore,0.00258
clark,0.00251
harrison,0.00245
scott,0.0024
young,0.00235
morris,0.00235
hall,0.00232
ward,0.00224
turner,0.00224
carter,0.00222
phillips,0.00218
mitchell,0.00218
patel,0.00214
campbell,0.00207
adams,0.00207
anderson,0.00206
allen,0.00202
cook,0.00199
bailey,0.00198
miller,0.00196
parker,0.00196
davis,0.00193
murphy,0.0019
bell,0.00189
price,0.00189
baker,0.00187
griffiths,0.00186
kelly,0.00183
simpson,0.0018
marshall,0.00174
collins,0.0017
bennett,0.00169
cox,0.00166
richardson,0.00165
fox,0.00165
gray,0.00162
rose,0.00159
chapman,0.00158
hunt,0.00155
robertson,0.00154
shaw,0.00154
reynolds,0.00153
lloyd,0.00152
ellis,0.00152
richards,0.00149
wilkinson,0.00148
russell,0.00148
khan,0.00144
graham,0.00143
stewart,0.00141
reid,0.00141
powell,0.00138
murray,0.00138
palmer,0.00136
rogers,0.00134
holmes,0.00134
stevens,0.00133
walsh,0.00131
hunter,0.00129
thomson,0.00128
matthews,0.00127
ross,0.00125
owen,0.00125
knight,0.00125
mason,0.00125
kennedy,0.00124
butler,0.00124
saunders,0.00123
cole,0.00123
pearce,0.00123
dean,0.00122
foster,0.00121
harvey,0.0012
hudson,0.00119
gibson,0.00119
mills,0.00118
berry,0.00116
pearson,0.00115
barnes,0.00115
kaur,0.00115
booth,0.00113
grant,0.00113
dixon,0.00113
gordon,0.00112
lane,0.00111
harper,0.00111
ali,0.00109
hart,0.00109
lawson,0.00091
day,0.0009
woods,0.0009
black,0.0009
rees,0.0009
fraser,0.00089
fletcher,0.00089
hussain,0.00089
willis,0.00089
ahmed,0.00089
marsh,0.00088
doyle,0.00088
lowe,0.00087
hopkins,0.00087
nicholson,0.00086
burns,0.00086
parry,0.00085
jordan,0.00085
newman,0.00085
howard,0.00084
henderson,0.00083
barrett,0.00083
burton,0.00083
riley,0.00083
porter,0.00082
byrne,0.00081
john,0.0008
baxter,0.0008
perry,0.00079
mccarthy,0.00079
burke,0.00079
houghton,0.00079
ball,0.00078
elliott,0.00078
cooke,0.00078
read,0.00077
francis,0.00077
gallagher,0.00077
duncan,0.00077
sharp,0.00076
austin,0.00076
wallace,0.00076
hawkins,0.00076
hayes,0.00076
sutton,0.00076
davidson,0.00075
holland,0.00075
moss,0.00074
may,0.00073
bates,0.00073
bob,0.00073
oliver,0.00073
kemp,0.00073
page,0.00073
morrison,0.00073
arnold,0.00072
stevenson,0.00072
shah,0.00071
ford,0.00071
flynn,0.00071
potter,0.0007
kent,0.0007
field,0.0007
warren,0.0007
alexander,0.00069
freeman,0.00069
rhodes,0.00069
begum,0.00068
middleton,0.00068
oneill,0.00067
payne,0.00067
stephenson,0.00067
pritchard,0.00067
gregory,0.00066
bond,0.00066
webster,0.00066
dunn,0.00066
donnelly,0.00065
lucas,0.00065
long,0.00065
jarvis,0.00064
stephens,0.00064
coleman,0.00064
cross,0.00064
bull,0.00063
obrien,0.00063
reed,0.00063
nicholls,0.00063
bartlett,0.00062
bird,0.00062
patterson,0.00062
tucker,0.00062
curtis,0.00062
bryant,0.00061
lynch,0.00061
mackenzie,0.00061
ferguson,0.00061
cameron,0.00061
lopez,0.00061
haynes,0.00061
hardy,0.00061
davey,0.00061
bolton,0.0006
heath,0.0006
rice,0.00059
ashton,0.00059
french,0.00059
jacobs,0.00059
parsons,0.00059
gilbert,0.00058
hodgson,0.00058
robson,0.00058
farrell,0.00058
mcintyre,0.00058
norman,0.00058
walton,0.00057
newton,0.00057
higgins,0.00057
bishop,0.00057
simmons,0.00057
sharma,0.00057
sutherland,0.00057
kay,0.00056
burgess,0.00056
hutchinson,0.00056
moran,0.00056
slater,0.00056
greenwood,0.00056
kirk,0.00056
fernandez,0.00056
atkins,0.00056
daniel,0.00056
maxwell,0.00056
frost,0.00056
garcia,0.00055
beattie,0.00055
todd,0.00055
paul,0.00055
park,0.00055
oconnor,0.00054
love,0.00054
charles,0.00054
crawford,0.00054
rowland,0.00054
connolly,0.00054
sheppard,0.00053
rowe,0.00053
sanderson,0.00053
hewitt,0.00053
forrest,0.00053
harding,0.00053
banks,0.00053
humphreys,0.00053
glover,0.00053
garner,0.00052
goodwin,0.00052
david,0.00052
mackay,0.00052
jeffery,0.00052
daniels,0.00052
yates,0.00052
sullivan,0.00051
howe,0.00051
hammond,0.00051
miles,0.00051
brady,0.00051
preston,0.00051
mcleod,0.00051
leigh,0.00051
atherton,0.00051
carpenter,0.00051
lambert,0.00051
knowles,5.00E-04
hope,5.00E-04
barton,5.00E-04
finch,5.00E-04
blake,5.00E-04
fuller,5.00E-04
henry,5.00E-04
hobbs,5.00E-04
morton,5.00E-04
davison,5.00E-04
owens,5.00E-04
wilkins,5.00E-04
dennis,0.00049
paterson,0.00049
coates,0.00049
howells,0.00049
gough,0.00049
woodward,0.00049
griffin,0.00049
bloggs,0.00049
wall,0.00048
christie,0.00048
duffy,0.00048
charlton,0.00048
vincent,0.00048
bowen,0.00048
browne,0.00048
rodgers,0.00048
smart,0.00048
donaldson,0.00047
wheeler,0.00047
quinn,0.00047
allan,0.00047
bowden,0.00047
gibbons,0.00047
bentley,0.00047
barnett,0.00047
sweeney,0.00047
steele,0.00046
hartley,0.00046
randall,0.00046
fowler,0.00046
douglas,0.00046
holt,0.00046
baird,0.00046
kerr,0.00046
brennan,0.00046
howell,0.00046
cartwright,0.00045
dickson,0.00045
benson,0.00045
goddard,0.00045
broadhurst,0.00045
doherty,0.00045
singh,0.00045
power,0.00045
watkins,0.00045
millar,0.00044
holden,0.00044
tait,0.00044
reilly,0.00044
thorne,0.00044
wyatt,0.00044
leach,0.00044
lord,0.00044
hilton,0.00044
adam,0.00044
mclean,0.00044
jennings,0.00044
nash,0.00044
mcgregor,0.00043
hancock,0.00043
silva,0.00043
stuart,0.00043
nelson,0.00043
walters,0.00043
lindsay,0.00043
hooper,0.00043
seymour,0.00042
dale,0.00042
mac,0.00042
whelan,0.00042
obrien,0.00042
barlow,0.00042
kenny,0.00042
carroll,0.00042
chadwick,0.00042
abbott,0.00042
mellor,0.00042
boyd,0.00042
perkins,0.00042
mann,0.00042
mohamed,0.00041
mcgrath,0.00041
joyce,0.00041
blair,0.00041
weaver,0.00041
little,0.00041
haines,0.00041
peters,0.00041
savage,0.00041
sanders,0.00041
baldwin,0.00041
thornton,0.00041
whitehouse,0.00041
whitehead,0.00041
burrows,0.00041
swift,0.00041
shepherd,0.0004
cullen,0.0004
mcfarlane,0.0004
sinclair,0.0004
fleming,0.0004
welch,0.0004
bradshaw,0.0004
summers,0.0004
buckley,0.00039
vaughan,0.00039
naylor,0.00039
briggs,0.00039
schofield,0.00039
coles,0.00039
akhtar,0.00039
cassidy,0.00039
giles,0.00039
whittaker,0.00039
faulkner,0.00039
bray,0.00039
osborne,0.00039
herbert,0.00039
rossi,0.00038
hicks,0.00038
bush,0.00038
mccann,0.00038
bourne,0.00038
weston,0.00038
oneill,0.00038
humphrey,0.00038
partridge,0.00038
johns,0.00038
morley,0.00038
welsh,0.00038
rooney,0.00038
fitzgerald,0.00038
whittle,0.00038
spence,0.00037
gardiner,0.00037
armitage,0.00037
english,0.00037
winter,0.00037
singleton,0.00037
kaye,0.00037
craig,0.00037
laing,0.00037
pollard,0.00037
wilkes,0.00037
bright,0.00037
hills,0.00037
