lastname1,lastname2,freq
adams,adamson,1
adamson,adams,1
allen,allon,1
allon,allen,1
andersen,sanderson,0.5
andersen,anderson,0.5
anderson,sanderson,0.5
anderson,andersen,0.5
ashford,lansford,0.5
ashford,glassford,0.5
atkins,etkin,0.25
atkins,elkins,0.25
atkins,edkinson,0.25
atkins,edkins,0.25
bailey,bayley,0.5
bailey,bayles,0.5
baker,becker,1
bartey,batley,0.333333333
bartey,batey,0.333333333
bartey,bates,0.333333333
bates,batley,0.333333333
bates,batey,0.333333333
bates,bartey,0.333333333
batey,batley,0.333333333
batey,bates,0.333333333
batey,bartey,0.333333333
batley,batey,0.333333333
batley,bates,0.333333333
batley,bartey,0.333333333
bayles,bayley,0.5
bayles,bailey,0.5
bayley,bayles,0.5
bayley,bailey,0.5
becker,baker,1
bell,bellany,1
bellany,bell,1
benet,bennett,0.333333333
benet,beney,0.333333333
benet,benett,0.333333333
benett,bennett,0.333333333
benett,beney,0.333333333
benett,benet,0.333333333
beney,bennett,0.333333333
beney,benett,0.333333333
beney,benet,0.333333333
bennett,beney,0.333333333
bennett,benett,0.333333333
bennett,benet,0.333333333
bourg,bourke,1
bourke,bourg,1
bowen,owen,1
boyle,stoyle,1
bratt,brett,1
brett,bratt,1
bright,wright,0.25
bright,righton,0.25
bright,right,0.25
bright,righten,0.25
brown,browne,1
browne,brown,1
bruce,spruch,0.5
bruce,spruce,0.5
burnell,furnell,0.5
burnell,burnett,0.5
burnett,furnell,0.5
burnett,burnell,0.5
butler,putler,1
campbell,combell,1
carter,karter,1
chaffman,chatham,0.5
chaffman,chapman,0.5
chapman,chatham,0.5
chapman,chaffman,0.5
chatham,chapman,0.5
chatham,chaffman,0.5
clarke,clarkson,1
clarkson,clarke,1
coch,cox,1
colborne,colbourne,1
colbourne,colborne,1
coling,collins,0.5
coling,collings,0.5
collings,collins,0.5
collings,coling,0.5
collington,collinson,1
collins,collings,0.5
collins,coling,0.5
collinson,collington,1
combell,campbell,1
cook,cooke,0.333333333
cook,hook,0.333333333
cook,cookson,0.333333333
cooke,cook,0.333333333
cooke,hook,0.333333333
cooke,cookson,0.333333333
cookson,cooke,0.333333333
cookson,cook,0.333333333
cookson,hook,0.333333333
cooper,hopper,1
cox,coch,1
crane,cryan,1
crone,krone,1
cryan,crane,1
dagley,douglas,0.5
dagley,daglish,0.5
daglish,douglas,0.5
daglish,dagley,0.5
danett,janett,1
david,davis,0.5
david,davidson,0.5
davids,davie,0.5
davids,davies,0.5
davidson,davis,0.5
davidson,david,0.5
davie,davies,0.5
davie,davids,0.5
davies,davie,0.5
davies,davids,0.5
davis,davidson,0.5
davis,david,0.5
de morgan,morgan,1
douglas,daglish,0.5
douglas,dagley,0.5
ducker,tucker,1
dutson,dutton,1
dutton,dutson,1
eades,eaves,1
eaves,eades,1
edkins,etkin,0.25
edkins,elkins,0.25
edkins,edkinson,0.25
edkins,atkins,0.25
edkinson,etkin,0.25
edkinson,elkins,0.25
edkinson,edkins,0.25
edkinson,atkins,0.25
edward,edwards,1
edwards,edward,1
elkins,etkin,0.25
elkins,edkinson,0.25
elkins,edkins,0.25
elkins,atkins,0.25
ellis,ellison,1
ellison,ellis,1
epsom,epson,1
epson,epsom,1
etkin,elkins,0.25
etkin,edkinson,0.25
etkin,edkins,0.25
etkin,atkins,0.25
evans,eving,1
eving,evans,1
filippou,phillips,0.333333333
filippou,phillip,0.333333333
filippou,philips,0.333333333
fister,foster,1
foster,fister,1
fox,foxter,1
foxter,fox,1
furnell,burnett,0.5
furnell,burnell,0.5
gilberts,gilbertson,1
gilbertson,gilberts,1
gillson,tilson,1
glassford,ashford,0.5
glassford,lansford,0.5
gray,grey,1
green,greep,1
greep,green,1
grey,gray,1
griffin,griffiths,1
griffiths,griffin,1
hadson,hutson,0.333333333
hadson,hunts,0.333333333
hadson,hudson,0.333333333
hagee,hagues,1
hagues,hagee,1
hale,halls,0.5
hale,hall,0.5
hall,halls,0.5
hall,hale,0.5
halls,hall,0.5
halls,hale,0.5
hamer,hammer,1
hammer,hamer,1
hant,hunt,1
harrin,harris,1
harris,harrin,1
hill,hull,0.333333333
hill,hilson,0.333333333
hill,hillson,0.333333333
hillson,hull,0.333333333
hillson,hilson,0.333333333
hillson,hill,0.333333333
hilson,hull,0.333333333
hilson,hillson,0.333333333
hilson,hill,0.333333333
holman,holmes,1
holmes,holman,1
hook,cooke,0.333333333
hook,cook,0.333333333
hook,cookson,0.333333333
hopper,cooper,1
hourston,roulston,0.5
hourston,houston,0.5
houston,roulston,0.5
houston,hourston,0.5
hudson,hutson,0.333333333
hudson,hunts,0.333333333
hudson,hadson,0.333333333
huges,hughes,1
hughes,huges,1
hull,hilson,0.333333333
hull,hillson,0.333333333
hull,hill,0.333333333
hunt,hant,1
hunter,shunter,1
hunts,hutson,0.333333333
hunts,hudson,0.333333333
hunts,hadson,0.333333333
hutson,hunts,0.333333333
hutson,hudson,0.333333333
hutson,hadson,0.333333333
jackson,jakes,1
jakes,jackson,1
james,jameson,1
jameson,james,1
janett,danett,1
jarvis,jervis,1
jason,mason,1
jensen,jenson,0.333333333
jensen,jonson,0.333333333
jensen,johnson,0.333333333
jenson,jensen,0.333333333
jenson,jonson,0.333333333
jenson,johnson,0.333333333
jervis,jarvis,1
johns,jones,1
johnson,jensen,0.333333333
johnson,jenson,0.333333333
johnson,jonson,0.333333333
jones,johns,1
jonson,jensen,0.333333333
jonson,jenson,0.333333333
jonson,johnson,0.333333333
kahn,khan,1
karter,carter,1
kellis,kelly,1
kelly,kellis,1
kennedy,kenny,1
kenny,kennedy,1
khan,kahn,1
king,kington,0.5
king,kingston,0.5
kingston,kington,0.5
kingston,king,0.5
kington,king,0.5
kington,kingston,0.5
kitson,pitson,1
knight,knights,1
knights,knight,1
krone,crone,1
kuhn,toon,1
landfort,lashford,1
lansford,ashford,0.5
lansford,glassford,0.5
lashford,landfort,1
lathan,nathan,1
lawrence,lawrenson,1
lawrenson,lawrence,1
layton,leyton,0.5
layton,leiton,0.5
lee,leech,1
leech,lee,1
leiton,leyton,0.5
leiton,layton,0.5
lewes,lewis,0.5
lewes,louis,0.5
lewis,lewes,0.5
lewis,louis,0.5
leyton,leiton,0.5
leyton,layton,0.5
lloyd,loyd,1
louis,lewes,0.5
louis,lewis,0.5
loyd,lloyd,1
marchal,marshall,1
marshall,marchal,1
martin,martins,0.5
martin,martyn,0.5
martins,martyn,0.5
martins,martin,0.5
martyn,martins,0.5
martyn,martin,0.5
mason,jason,1
mayne,payne,1
mcmorrin,mcmurray,0.5
mcmorrin,mcmorrine,0.5
mcmorrine,mcmurray,0.5
mcmorrine,mcmorrin,0.5
mcmurray,mcmorrine,0.5
mcmurray,mcmorrin,0.5
michael,mitchell,0.5
michael,mitchel,0.5
milah,millar,0.5
milah,millan,0.5
millan,millar,0.5
millan,milah,0.5
millar,millan,0.5
millar,milah,0.5
miller,myler,0.333333333
miller,milnor,0.333333333
miller,milner,0.333333333
milner,myler,0.333333333
milner,milnor,0.333333333
milner,miller,0.333333333
milnor,myler,0.333333333
milnor,milner,0.333333333
milnor,miller,0.333333333
mitchel,mitchell,0.5
mitchel,michael,0.5
mitchell,mitchel,0.5
mitchell,michael,0.5
moore,moores,1
moores,moore,1
morgan,de morgan,1
morison,morrisson,0.333333333
morison,morrissey,0.333333333
morison,morris,0.333333333
morris,morrisson,0.333333333
morris,morrissey,0.333333333
morris,morison,0.333333333
morrissey,morrisson,0.333333333
morrissey,morris,0.333333333
morrissey,morison,0.333333333
morrisson,morrissey,0.333333333
morrisson,morris,0.333333333
morrisson,morison,0.333333333
myler,milnor,0.333333333
myler,milner,0.333333333
myler,miller,0.333333333
nathan,lathan,1
oakes,oakton,0.333333333
oakes,oaksey,0.333333333
oakes,oakley,0.333333333
oakley,oakton,0.333333333
oakley,oaksey,0.333333333
oakley,oakes,0.333333333
oaksey,oakton,0.333333333
oaksey,oakley,0.333333333
oaksey,oakes,0.333333333
oakton,oaksey,0.333333333
oakton,oakley,0.333333333
oakton,oakes,0.333333333
owen,bowen,1
palmer,plummer,1
parker,parkin,1
parkin,parker,1
pate,patel,1
patel,pate,1
payne,mayne,1
philips,phillips,0.333333333
philips,phillip,0.333333333
philips,filippou,0.333333333
phillip,phillips,0.333333333
phillip,philips,0.333333333
phillip,filippou,0.333333333
phillips,phillip,0.333333333
phillips,philips,0.333333333
phillips,filippou,0.333333333
pitson,kitson,1
plummer,palmer,1
powell,powls,0.333333333
powell,powley,0.333333333
powell,powles,0.333333333
powles,powls,0.333333333
powles,powley,0.333333333
powles,powell,0.333333333
powley,powls,0.333333333
powley,powles,0.333333333
powley,powell,0.333333333
powls,powley,0.333333333
powls,powles,0.333333333
powls,powell,0.333333333
price,prine,1
prine,price,1
putler,butler,1
rand,ryder,0.333333333
rand,ryde,0.333333333
rand,reid,0.333333333
rassell,russell,1
raynaud,reynolds,1
reid,ryder,0.333333333
reid,ryde,0.333333333
reid,rand,0.333333333
reynolds,raynaud,1
right,wright,0.25
right,righton,0.25
right,righten,0.25
right,bright,0.25
righten,wright,0.25
righten,righton,0.25
righten,right,0.25
righten,bright,0.25
righton,wright,0.25
righton,right,0.25
righton,righten,0.25
righton,bright,0.25
robin,robinsons,0.5
robin,robinson,0.5
robinson,robinsons,0.5
robinson,robin,0.5
robinsons,robin,0.5
robinsons,robinson,0.5
rogers,rogger,0.5
rogers,rogerson,0.5
rogerson,rogger,0.5
rogerson,rogers,0.5
rogger,rogerson,0.5
rogger,rogers,0.5
rose,rosier,1
rosh,ross,1
rosier,rose,1
ross,rosh,1
roulston,houston,0.5
roulston,hourston,0.5
russell,rassell,1
ryde,ryder,0.333333333
ryde,reid,0.333333333
ryde,rand,0.333333333
ryder,ryde,0.333333333
ryder,reid,0.333333333
ryder,rand,0.333333333
sanderson,anderson,0.5
sanderson,andersen,0.5
saunders,saunters,1
saunters,saunders,1
scotson,scott,1
scott,scotson,1
selway,selwyn,1
selwyn,selway,1
shaw,snow,1
shelton,shenton,1
shenton,shelton,1
shunter,hunter,1
simpson,simson,1
simson,simpson,1
smith,smithson,0.25
smith,smiths,0.25
smith,smyth,0.25
smith,smythson,0.25
smiths,smithson,0.25
smiths,smith,0.25
smiths,smyth,0.25
smiths,smythson,0.25
smithson,smiths,0.25
smithson,smith,0.25
smithson,smyth,0.25
smithson,smythson,0.25
smyth,smithson,0.25
smyth,smiths,0.25
smyth,smith,0.25
smyth,smythson,0.25
smythson,smithson,0.25
smythson,smiths,0.25
smythson,smith,0.25
smythson,smyth,0.25
snow,shaw,1
spruce,spruch,0.5
spruce,bruce,0.5
spruch,spruce,0.5
spruch,bruce,0.5
stephen,stevenson,0.25
stephen,stevens,0.25
stephen,stephenson,0.25
stephen,stephens,0.25
stephens,stevenson,0.25
stephens,stevens,0.25
stephens,stephenson,0.25
stephens,stephen,0.25
stephenson,stevenson,0.25
stephenson,stevens,0.25
stephenson,stephens,0.25
stephenson,stephen,0.25
stevens,stevenson,0.25
stevens,stephenson,0.25
stevens,stephens,0.25
stevens,stephen,0.25
stevenson,stevens,0.25
stevenson,stephenson,0.25
stevenson,stephens,0.25
stevenson,stephen,0.25
steward,stuart,0.5
steward,stewart,0.5
stewart,stuart,0.5
stewart,steward,0.5
stoyle,boyle,1
stuart,stewart,0.5
stuart,steward,0.5
taylor,tylor,0.5
taylor,tyler,0.5
terner,turner,1
thoman,thomason,0.333333333
thoman,tomas,0.333333333
thoman,thomas,0.333333333
thomas,thomason,0.333333333
thomas,tomas,0.333333333
thomas,thoman,0.333333333
thomason,tomas,0.333333333
thomason,thomas,0.333333333
thomason,thoman,0.333333333
thompson,thomsen,1
thomsen,thompson,1
thomson,tomson,1
tilson,gillson,1
tomas,thomason,0.333333333
tomas,thomas,0.333333333
tomas,thoman,0.333333333
tomson,thomson,1
toon,kuhn,1
tucker,ducker,1
turner,terner,1
tyler,taylor,0.5
tyler,tylor,0.5
tylor,taylor,0.5
tylor,tyler,0.5
waite,wight,1
walker,wolker,0.5
walker,wilker,0.5
wallis,walsh,1
walsh,wallis,1
walshaw,walts,0.333333333
walshaw,waltham,0.333333333
walshaw,walthall,0.333333333
walthall,walts,0.333333333
walthall,waltham,0.333333333
walthall,walshaw,0.333333333
waltham,walts,0.333333333
waltham,walthall,0.333333333
waltham,walshaw,0.333333333
walts,waltham,0.333333333
walts,walthall,0.333333333
walts,walshaw,0.333333333
watchon,watson,1
watson,watchon,1
white,whites,1
whites,white,1
wight,waite,1
wiliam,william,0.333333333
wiliam,willian,0.333333333
wiliam,williams,0.333333333
wilison,wilson,0.333333333
wilison,wills,0.333333333
wilison,willison,0.333333333
wilker,wolker,0.5
wilker,walker,0.5
wilkes,wilks,0.25
wilkes,wilkinson,0.25
wilkes,wilkins,0.25
wilkes,wilkin,0.25
wilkin,wilks,0.25
wilkin,wilkinson,0.25
wilkin,wilkins,0.25
wilkin,wilkes,0.25
wilkins,wilks,0.25
wilkins,wilkinson,0.25
wilkins,wilkin,0.25
wilkins,wilkes,0.25
wilkinson,wilks,0.25
wilkinson,wilkins,0.25
wilkinson,wilkin,0.25
wilkinson,wilkes,0.25
wilks,wilkinson,0.25
wilks,wilkins,0.25
wilks,wilkin,0.25
wilks,wilkes,0.25
william,willian,0.333333333
william,williams,0.333333333
william,wiliam,0.333333333
williams,william,0.333333333
williams,willian,0.333333333
williams,wiliam,0.333333333
willian,william,0.333333333
willian,williams,0.333333333
willian,wiliam,0.333333333
willison,wilson,0.333333333
willison,wills,0.333333333
willison,wilison,0.333333333
wills,wilson,0.333333333
wills,wilison,0.333333333
wills,willison,0.333333333
wilson,wills,0.333333333
wilson,wilison,0.333333333
wilson,willison,0.333333333
wolker,walker,0.5
wolker,wilker,0.5
wood,woode,0.5
wood,woods,0.5
woodburn,woodman,1
woode,woods,0.5
woode,wood,0.5
woodman,woodburn,1
woods,woode,0.5
woods,wood,0.5
wright,righton,0.25
wright,right,0.25
wright,righten,0.25
wright,bright,0.25
yang,young,1
young,yang,1
