lastname,freq,race
abachiche,0.00035524,American Indian or Native Alaskan
ablan,0.00035524,American Indian or Native Alaskan
abrahms,0.00035524,American Indian or Native Alaskan
absher,0.00035524,American Indian or Native Alaskan
aebischer,0.00035524,American Indian or Native Alaskan
agan,0.00035524,American Indian or Native Alaskan
ahasteen,0.00035524,American Indian or Native Alaskan
akina,0.00035524,American Indian or Native Alaskan
akquia,0.00035524,American Indian or Native Alaskan
alberti,0.00035524,American Indian or Native Alaskan
alcantar,0.00035524,American Indian or Native Alaskan
aldaco,0.00035524,American Indian or Native Alaskan
alderete,0.00035524,American Indian or Native Alaskan
alger,0.00035524,American Indian or Native Alaskan
alire,0.00035524,American Indian or Native Alaskan
alkire,0.00035524,American Indian or Native Alaskan
allison,0.00035524,American Indian or Native Alaskan
amelkin,0.00035524,American Indian or Native Alaskan
amerson,0.00035524,American Indian or Native Alaskan
anaya,0.00035524,American Indian or Native Alaskan
anders,0.00035524,American Indian or Native Alaskan
anderstrom,0.00035524,American Indian or Native Alaskan
andrews,0.00035524,American Indian or Native Alaskan
ansted,0.00035524,American Indian or Native Alaskan
apps-padilla,0.00035524,American Indian or Native Alaskan
aragon-luby,0.00035524,American Indian or Native Alaskan
arapahoe,0.00035524,American Indian or Native Alaskan
archer,0.00035524,American Indian or Native Alaskan
arechiga,0.00035524,American Indian or Native Alaskan
arens,0.00035524,American Indian or Native Alaskan
arguello,0.00035524,American Indian or Native Alaskan
armbruster,0.00035524,American Indian or Native Alaskan
armstrong,0.00035524,American Indian or Native Alaskan
arrates,0.00035524,American Indian or Native Alaskan
arroyo,0.00035524,American Indian or Native Alaskan
ary,0.00035524,American Indian or Native Alaskan
asamoah,0.00035524,American Indian or Native Alaskan
ashalintubbi,0.00035524,American Indian or Native Alaskan
ashby,0.00035524,American Indian or Native Alaskan
ashcroft-bitsilly,0.00035524,American Indian or Native Alaskan
ashley,0.00035524,American Indian or Native Alaskan
ashworth,0.00035524,American Indian or Native Alaskan
atencio,0.00035524,American Indian or Native Alaskan
atkinson,0.00035524,American Indian or Native Alaskan
avants,0.00035524,American Indian or Native Alaskan
aviado ii,0.00035524,American Indian or Native Alaskan
azure,0.00035524,American Indian or Native Alaskan
baak,0.00035524,American Indian or Native Alaskan
baasch,0.00035524,American Indian or Native Alaskan
babcock,0.00035524,American Indian or Native Alaskan
bacon-maldonado,0.00035524,American Indian or Native Alaskan
badback,0.00035524,American Indian or Native Alaskan
badsky,0.00035524,American Indian or Native Alaskan
balogh,0.00035524,American Indian or Native Alaskan
barcelona,0.00035524,American Indian or Native Alaskan
barda,0.00035524,American Indian or Native Alaskan
barela,0.00035524,American Indian or Native Alaskan
barger,0.00035524,American Indian or Native Alaskan
barker,0.00035524,American Indian or Native Alaskan
barksdale,0.00035524,American Indian or Native Alaskan
barricklow,0.00035524,American Indian or Native Alaskan
barringer,0.00035524,American Indian or Native Alaskan
bartell,0.00035524,American Indian or Native Alaskan
bartole,0.00035524,American Indian or Native Alaskan
bartrum,0.00035524,American Indian or Native Alaskan
bass,0.00035524,American Indian or Native Alaskan
basurto,0.00035524,American Indian or Native Alaskan
baty,0.00035524,American Indian or Native Alaskan
bauer,0.00035524,American Indian or Native Alaskan
bayles,0.00035524,American Indian or Native Alaskan
bear-flores,0.00035524,American Indian or Native Alaskan
beaulieu,0.00035524,American Indian or Native Alaskan
beaver,0.00035524,American Indian or Native Alaskan
beckner,0.00035524,American Indian or Native Alaskan
begay-watson,0.00035524,American Indian or Native Alaskan
beightel,0.00035524,American Indian or Native Alaskan
bellow,0.00035524,American Indian or Native Alaskan
bemski,0.00035524,American Indian or Native Alaskan
bennett tapuy,0.00035524,American Indian or Native Alaskan
benson,0.00035524,American Indian or Native Alaskan
bertsch,0.00035524,American Indian or Native Alaskan
beyale,0.00035524,American Indian or Native Alaskan
bia jr,0.00035524,American Indian or Native Alaskan
bigback,0.00035524,American Indian or Native Alaskan
bigbey,0.00035524,American Indian or Native Alaskan
biggs,0.00035524,American Indian or Native Alaskan
bigthumb,0.00035524,American Indian or Native Alaskan
billie,0.00035524,American Indian or Native Alaskan
billings,0.00035524,American Indian or Native Alaskan
billsie,0.00035524,American Indian or Native Alaskan
billy,0.00035524,American Indian or Native Alaskan
binns,0.00035524,American Indian or Native Alaskan
bitsie,0.00035524,American Indian or Native Alaskan
bivings,0.00035524,American Indian or Native Alaskan
blackcrow,0.00035524,American Indian or Native Alaskan
blackhorse,0.00035524,American Indian or Native Alaskan
blackman,0.00035524,American Indian or Native Alaskan
blackner,0.00035524,American Indian or Native Alaskan
blaeholder,0.00035524,American Indian or Native Alaskan
blais,0.00035524,American Indian or Native Alaskan
blalock,0.00035524,American Indian or Native Alaskan
blaze,0.00035524,American Indian or Native Alaskan
blevans,0.00035524,American Indian or Native Alaskan
blueeyes,0.00035524,American Indian or Native Alaskan
bluejacket,0.00035524,American Indian or Native Alaskan
bluford,0.00035524,American Indian or Native Alaskan
boden,0.00035524,American Indian or Native Alaskan
bodnar,0.00035524,American Indian or Native Alaskan
bofill,0.00035524,American Indian or Native Alaskan
bogle,0.00035524,American Indian or Native Alaskan
bohanon,0.00035524,American Indian or Native Alaskan
bol,0.00035524,American Indian or Native Alaskan
bollig,0.00035524,American Indian or Native Alaskan
bolyard,0.00035524,American Indian or Native Alaskan
bonner,0.00035524,American Indian or Native Alaskan
boon,0.00035524,American Indian or Native Alaskan
boone,0.00035524,American Indian or Native Alaskan
borunda,0.00035524,American Indian or Native Alaskan
bost,0.00035524,American Indian or Native Alaskan
bottorff,0.00035524,American Indian or Native Alaskan
boulier,0.00035524,American Indian or Native Alaskan
boykin,0.00035524,American Indian or Native Alaskan
bradley,0.00035524,American Indian or Native Alaskan
bradshaw,0.00035524,American Indian or Native Alaskan
brady,0.00035524,American Indian or Native Alaskan
braley,0.00035524,American Indian or Native Alaskan
brassard,0.00035524,American Indian or Native Alaskan
brazee,0.00035524,American Indian or Native Alaskan
breazell,0.00035524,American Indian or Native Alaskan
breckenridge,0.00035524,American Indian or Native Alaskan
breer,0.00035524,American Indian or Native Alaskan
brenner,0.00035524,American Indian or Native Alaskan
bresciani,0.00035524,American Indian or Native Alaskan
briones,0.00035524,American Indian or Native Alaskan
brisbane,0.00035524,American Indian or Native Alaskan
brito,0.00035524,American Indian or Native Alaskan
broeren,0.00035524,American Indian or Native Alaskan
bron,0.00035524,American Indian or Native Alaskan
brooks,0.00035524,American Indian or Native Alaskan
brott,0.00035524,American Indian or Native Alaskan
bruner,0.00035524,American Indian or Native Alaskan
bruno,0.00035524,American Indian or Native Alaskan
brunson,0.00035524,American Indian or Native Alaskan
brussel,0.00035524,American Indian or Native Alaskan
bueno,0.00035524,American Indian or Native Alaskan
bufano,0.00035524,American Indian or Native Alaskan
burback,0.00035524,American Indian or Native Alaskan
burch,0.00035524,American Indian or Native Alaskan
burcher,0.00035524,American Indian or Native Alaskan
burgdorff,0.00035524,American Indian or Native Alaskan
burgess,0.00035524,American Indian or Native Alaskan
burnett,0.00035524,American Indian or Native Alaskan
burns,0.00035524,American Indian or Native Alaskan
burnsed,0.00035524,American Indian or Native Alaskan
burress-willis,0.00035524,American Indian or Native Alaskan
burris,0.00035524,American Indian or Native Alaskan
bushyhead,0.00035524,American Indian or Native Alaskan
bustamante,0.00035524,American Indian or Native Alaskan
bustos-campos,0.00035524,American Indian or Native Alaskan
butcher,0.00035524,American Indian or Native Alaskan
byers,0.00035524,American Indian or Native Alaskan
byrnes,0.00035524,American Indian or Native Alaskan
caballero,0.00035524,American Indian or Native Alaskan
cable,0.00035524,American Indian or Native Alaskan
cabral-hollowhorn,0.00035524,American Indian or Native Alaskan
cackler,0.00035524,American Indian or Native Alaskan
cagle,0.00035524,American Indian or Native Alaskan
calano,0.00035524,American Indian or Native Alaskan
camacho,0.00035524,American Indian or Native Alaskan
candelaria,0.00035524,American Indian or Native Alaskan
cannell,0.00035524,American Indian or Native Alaskan
cantrell,0.00035524,American Indian or Native Alaskan
canty,0.00035524,American Indian or Native Alaskan
canuto,0.00035524,American Indian or Native Alaskan
carabajal iii,0.00035524,American Indian or Native Alaskan
caramillo,0.00035524,American Indian or Native Alaskan
caravio,0.00035524,American Indian or Native Alaskan
cardenas,0.00035524,American Indian or Native Alaskan
carl,0.00035524,American Indian or Native Alaskan
carlo,0.00035524,American Indian or Native Alaskan
carlson,0.00035524,American Indian or Native Alaskan
carlton,0.00035524,American Indian or Native Alaskan
carpenter,0.00035524,American Indian or Native Alaskan
carrigan,0.00035524,American Indian or Native Alaskan
carruthers,0.00035524,American Indian or Native Alaskan
casados,0.00035524,American Indian or Native Alaskan
casey,0.00035524,American Indian or Native Alaskan
casillas,0.00035524,American Indian or Native Alaskan
casper,0.00035524,American Indian or Native Alaskan
castellot,0.00035524,American Indian or Native Alaskan
castillo,0.00035524,American Indian or Native Alaskan
castle,0.00035524,American Indian or Native Alaskan
castro,0.00035524,American Indian or Native Alaskan
cather,0.00035524,American Indian or Native Alaskan
cave,0.00035524,American Indian or Native Alaskan
cdebaca,0.00035524,American Indian or Native Alaskan
celestino,0.00035524,American Indian or Native Alaskan
cereceres,0.00035524,American Indian or Native Alaskan
cerna,0.00035524,American Indian or Native Alaskan
chaca,0.00035524,American Indian or Native Alaskan
chaffin,0.00035524,American Indian or Native Alaskan
chafin,0.00035524,American Indian or Native Alaskan
chambers,0.00035524,American Indian or Native Alaskan
chapman,0.00035524,American Indian or Native Alaskan
chea,0.00035524,American Indian or Native Alaskan
cherry,0.00035524,American Indian or Native Alaskan
childs,0.00035524,American Indian or Native Alaskan
chin,0.00035524,American Indian or Native Alaskan
chittum,0.00035524,American Indian or Native Alaskan
clift,0.00035524,American Indian or Native Alaskan
clingan,0.00035524,American Indian or Native Alaskan
cly,0.00035524,American Indian or Native Alaskan
coakley,0.00035524,American Indian or Native Alaskan
cobarrubias,0.00035524,American Indian or Native Alaskan
coblentz,0.00035524,American Indian or Native Alaskan
coen,0.00035524,American Indian or Native Alaskan
coffman,0.00035524,American Indian or Native Alaskan
coleman,0.00035524,American Indian or Native Alaskan
colin,0.00035524,American Indian or Native Alaskan
collins,0.00035524,American Indian or Native Alaskan
colorow,0.00035524,American Indian or Native Alaskan
colten,0.00035524,American Indian or Native Alaskan
colunga,0.00035524,American Indian or Native Alaskan
conley,0.00035524,American Indian or Native Alaskan
connor,0.00035524,American Indian or Native Alaskan
conrad-buckley,0.00035524,American Indian or Native Alaskan
coon,0.00035524,American Indian or Native Alaskan
copley,0.00035524,American Indian or Native Alaskan
corbett,0.00035524,American Indian or Native Alaskan
cordero,0.00035524,American Indian or Native Alaskan
coreau,0.00035524,American Indian or Native Alaskan
coriz,0.00035524,American Indian or Native Alaskan
cornejo,0.00035524,American Indian or Native Alaskan
cornelius,0.00035524,American Indian or Native Alaskan
costa,0.00035524,American Indian or Native Alaskan
cotier,0.00035524,American Indian or Native Alaskan
cotter,0.00035524,American Indian or Native Alaskan
cottonwood,0.00035524,American Indian or Native Alaskan
cournoyer,0.00035524,American Indian or Native Alaskan
coutu,0.00035524,American Indian or Native Alaskan
craig,0.00035524,American Indian or Native Alaskan
craig-varela,0.00035524,American Indian or Native Alaskan
