SURNAME,surname2,cumprop
ADAMS,ADAMSON,1
ADAMSON,ADAMS,1
ALLEN,ALLON,1
ALLON,ALLEN,1
ANDERSEN,SANDERSON,0.5
ANDERSEN,ANDERSON,1
ANDERSON,SANDERSON,0.5
ANDERSON,ANDERSEN,1
ASHFORD,LANSFORD,0.5
ASHFORD,GLASSFORD,1
ATKINS,ETKIN,0.25
ATKINS,ELKINS,0.5
ATKINS,EDKINSON,0.75
ATKINS,EDKINS,1
BAILEY,BAYLEY,0.5
BAILEY,BAYLES,1
BAKER,BECKER,1
BARTEY,BATLEY,0.333333333
BARTEY,BATEY,0.666666667
BARTEY,BATES,1
BATES,BATLEY,0.333333333
BATES,BATEY,0.666666667
BATES,BARTEY,1
BATEY,BATLEY,0.333333333
BATEY,BATES,0.666666667
BATEY,BARTEY,1
BATLEY,BATEY,0.333333333
BATLEY,BATES,0.666666667
BATLEY,BARTEY,1
BAYLES,BAYLEY,0.5
BAYLES,BAILEY,1
BAYLEY,BAYLES,0.5
BAYLEY,BAILEY,1
BECKER,BAKER,1
BELL,BELLANY,1
BELLANY,BELL,1
BENET,BENNETT,0.333333333
BENET,BENEY,0.666666667
BENET,BENETT,1
BENETT,BENNETT,0.333333333
BENETT,BENEY,0.666666667
BENETT,BENET,1
BENEY,BENNETT,0.333333333
BENEY,BENETT,0.666666667
BENEY,BENET,1
BENNETT,BENEY,0.333333333
BENNETT,BENETT,0.666666667
BENNETT,BENET,1
BOURG,BOURKE,1
BOURKE,BOURG,1
BOWEN,OWEN,1
BOYLE,STOYLE,1
BRATT,BRETT,1
BRETT,BRATT,1
BRIGHT,WRIGHT,0.25
BRIGHT,RIGHTON,0.5
BRIGHT,RIGHT,0.75
BRIGHT,RIGHTEN,1
BROWN,BROWNE,1
BROWNE,BROWN,1
BRUCE,SPRUCH,0.5
BRUCE,SPRUCE,1
BURNELL,FURNELL,0.5
BURNELL,BURNETT,1
BURNETT,FURNELL,0.5
BURNETT,BURNELL,1
BUTLER,PUTLER,1
CAMPBELL,COMBELL,1
CARTER,KARTER,1
CHAFFMAN,CHATHAM,0.5
CHAFFMAN,CHAPMAN,1
CHAPMAN,CHATHAM,0.5
CHAPMAN,CHAFFMAN,1
CHATHAM,CHAPMAN,0.5
CHATHAM,CHAFFMAN,1
CLARKE,CLARKSON,1
CLARKSON,CLARKE,1
COCH,COX,1
COLBORNE,COLBOURNE,1
COLBOURNE,COLBORNE,1
COLING,COLLINS,0.5
COLING,COLLINGS,1
COLLINGS,COLLINS,0.5
COLLINGS,COLING,1
COLLINGTON,COLLINSON,1
COLLINS,COLLINGS,0.5
COLLINS,COLING,1
COLLINSON,COLLINGTON,1
COMBELL,CAMPBELL,1
COOK,COOKE,0.333333333
COOK,HOOK,0.666666667
COOK,COOKSON,1
COOKE,COOK,0.333333333
COOKE,HOOK,0.666666667
COOKE,COOKSON,1
COOKSON,COOKE,0.333333333
COOKSON,COOK,0.666666667
COOKSON,HOOK,1
COOPER,HOPPER,1
COX,COCH,1
CRANE,CRYAN,1
CRONE,KRONE,1
CRYAN,CRANE,1
DAGLEY,DOUGLAS,0.5
DAGLEY,DAGLISH,1
DAGLISH,DOUGLAS,0.5
DAGLISH,DAGLEY,1
DANETT,JANETT,1
DAVID,DAVIS,0.5
DAVID,DAVIDSON,1
DAVIDS,DAVIE,0.5
DAVIDS,DAVIES,1
DAVIDSON,DAVIS,0.5
DAVIDSON,DAVID,1
DAVIE,DAVIES,0.5
DAVIE,DAVIDS,1
DAVIES,DAVIE,0.5
DAVIES,DAVIDS,1
DAVIS,DAVIDSON,0.5
DAVIS,DAVID,1
DE MORGAN,MORGAN,1
DOUGLAS,DAGLISH,0.5
DOUGLAS,DAGLEY,1
DUCKER,TUCKER,1
DUTSON,DUTTON,1
DUTTON,DUTSON,1
EADES,EAVES,1
EAVES,EADES,1
EDKINS,ETKIN,0.25
EDKINS,ELKINS,0.5
EDKINS,EDKINSON,0.75
EDKINS,ATKINS,1
EDKINSON,ETKIN,0.25
EDKINSON,ELKINS,0.5
EDKINSON,EDKINS,0.75
EDKINSON,ATKINS,1
EDWARD,EDWARDS,1
EDWARDS,EDWARD,1
ELKINS,ETKIN,0.25
ELKINS,EDKINSON,0.5
ELKINS,EDKINS,0.75
ELKINS,ATKINS,1
ELLIS,ELLISON,1
ELLISON,ELLIS,1
EPSOM,EPSON,1
EPSON,EPSOM,1
ETKIN,ELKINS,0.25
ETKIN,EDKINSON,0.5
ETKIN,EDKINS,0.75
ETKIN,ATKINS,1
EVANS,EVING,1
EVING,EVANS,1
FILIPPOU,PHILLIPS,0.333333333
FILIPPOU,PHILLIP,0.666666667
FILIPPOU,PHILIPS,1
FISTER,FOSTER,1
FOSTER,FISTER,1
FOX,FOXTER,1
FOXTER,FOX,1
FURNELL,BURNETT,0.5
FURNELL,BURNELL,1
GILBERTS,GILBERTSON,1
GILBERTSON,GILBERTS,1
GILLSON,TILSON,1
GLASSFORD,ASHFORD,0.5
GLASSFORD,LANSFORD,1
GRAY,GREY,1
GREEN,GREEP,1
GREEP,GREEN,1
GREY,GRAY,1
GRIFFIN,GRIFFITHS,1
GRIFFITHS,GRIFFIN,1
HADSON,HUTSON,0.333333333
HADSON,HUNTS,0.666666667
HADSON,HUDSON,1
HAGEE,HAGUES,1
HAGUES,HAGEE,1
HALE,HALLS,0.5
HALE,HALL,1
HALL,HALLS,0.5
HALL,HALE,1
HALLS,HALL,0.5
HALLS,HALE,1
HAMER,HAMMER,1
HAMMER,HAMER,1
HANT,HUNT,1
HARRIN,HARRIS,1
HARRIS,HARRIN,1
HILL,HULL,0.333333333
HILL,HILSON,0.666666667
HILL,HILLSON,1
HILLSON,HULL,0.333333333
HILLSON,HILSON,0.666666667
HILLSON,HILL,1
HILSON,HULL,0.333333333
HILSON,HILLSON,0.666666667
HILSON,HILL,1
HOLMAN,HOLMES,1
HOLMES,HOLMAN,1
HOOK,COOKE,0.333333333
HOOK,COOK,0.666666667
HOOK,COOKSON,1
HOPPER,COOPER,1
HOURSTON,ROULSTON,0.5
HOURSTON,HOUSTON,1
HOUSTON,ROULSTON,0.5
HOUSTON,HOURSTON,1
HUDSON,HUTSON,0.333333333
HUDSON,HUNTS,0.666666667
HUDSON,HADSON,1
HUGES,HUGHES,1
HUGHES,HUGES,1
HULL,HILSON,0.333333333
HULL,HILLSON,0.666666667
HULL,HILL,1
HUNT,HANT,1
HUNTER,SHUNTER,1
HUNTS,HUTSON,0.333333333
HUNTS,HUDSON,0.666666667
HUNTS,HADSON,1
HUTSON,HUNTS,0.333333333
HUTSON,HUDSON,0.666666667
HUTSON,HADSON,1
JACKSON,JAKES,1
JAKES,JACKSON,1
JAMES,JAMESON,1
JAMESON,JAMES,1
JANETT,DANETT,1
JARVIS,JERVIS,1
JASON,MASON,1
JENSEN,JENSON,0.333333333
JENSEN,JONSON,0.666666667
JENSEN,JOHNSON,1
JENSON,JENSEN,0.333333333
JENSON,JONSON,0.666666667
JENSON,JOHNSON,1
JERVIS,JARVIS,1
JOHNS,JONES,1
JOHNSON,JENSEN,0.333333333
JOHNSON,JENSON,0.666666667
JOHNSON,JONSON,1
JONES,JOHNS,1
JONSON,JENSEN,0.333333333
JONSON,JENSON,0.666666667
JONSON,JOHNSON,1
KAHN,KHAN,1
KARTER,CARTER,1
KELLIS,KELLY,1
KELLY,KELLIS,1
KENNEDY,KENNY,1
KENNY,KENNEDY,1
KHAN,KAHN,1
KING,KINGTON,0.5
KING,KINGSTON,1
KINGSTON,KINGTON,0.5
KINGSTON,KING,1
KINGTON,KING,0.5
KINGTON,KINGSTON,1
KITSON,PITSON,1
KNIGHT,KNIGHTS,1
KNIGHTS,KNIGHT,1
KRONE,CRONE,1
KUHN,TOON,1
LANDFORT,LASHFORD,1
LANSFORD,ASHFORD,0.5
LANSFORD,GLASSFORD,1
LASHFORD,LANDFORT,1
LATHAN,NATHAN,1
LAWRENCE,LAWRENSON,1
LAWRENSON,LAWRENCE,1
LAYTON,LEYTON,0.5
LAYTON,LEITON,1
LEE,LEECH,1
LEECH,LEE,1
LEITON,LEYTON,0.5
LEITON,LAYTON,1
LEWES,LEWIS,0.5
LEWES,LOUIS,1
LEWIS,LEWES,0.5
LEWIS,LOUIS,1
LEYTON,LEITON,0.5
LEYTON,LAYTON,1
LLOYD,LOYD,1
LOUIS,LEWES,0.5
LOUIS,LEWIS,1
LOYD,LLOYD,1
MARCHAL,MARSHALL,1
MARSHALL,MARCHAL,1
MARTIN,MARTINS,0.5
MARTIN,MARTYN,1
MARTINS,MARTYN,0.5
MARTINS,MARTIN,1
MARTYN,MARTINS,0.5
MARTYN,MARTIN,1
MASON,JASON,1
MAYNE,PAYNE,1
MCMORRIN,MCMURRAY,0.5
MCMORRIN,MCMORRINE,1
MCMORRINE,MCMURRAY,0.5
MCMORRINE,MCMORRIN,1
MCMURRAY,MCMORRINE,0.5
MCMURRAY,MCMORRIN,1
MICHAEL,MITCHELL,0.5
MICHAEL,MITCHEL,1
MILAH,MILLAR,0.5
MILAH,MILLAN,1
MILLAN,MILLAR,0.5
MILLAN,MILAH,1
MILLAR,MILLAN,0.5
MILLAR,MILAH,1
MILLER,MYLER,0.333333333
MILLER,MILNOR,0.666666667
MILLER,MILNER,1
MILNER,MYLER,0.333333333
MILNER,MILNOR,0.666666667
MILNER,MILLER,1
MILNOR,MYLER,0.333333333
MILNOR,MILNER,0.666666667
MILNOR,MILLER,1
MITCHEL,MITCHELL,0.5
MITCHEL,MICHAEL,1
MITCHELL,MITCHEL,0.5
MITCHELL,MICHAEL,1
MOORE,MOORES,1
MOORES,MOORE,1
MORGAN,DE MORGAN,1
MORISON,MORRISSON,0.333333333
MORISON,MORRISSEY,0.666666667
MORISON,MORRIS,1
MORRIS,MORRISSON,0.333333333
MORRIS,MORRISSEY,0.666666667
MORRIS,MORISON,1
MORRISSEY,MORRISSON,0.333333333
MORRISSEY,MORRIS,0.666666667
MORRISSEY,MORISON,1
MORRISSON,MORRISSEY,0.333333333
MORRISSON,MORRIS,0.666666667
MORRISSON,MORISON,1
MYLER,MILNOR,0.333333333
MYLER,MILNER,0.666666667
MYLER,MILLER,1
NATHAN,LATHAN,1
OAKES,OAKTON,0.333333333
OAKES,OAKSEY,0.666666667
OAKES,OAKLEY,1
OAKLEY,OAKTON,0.333333333
OAKLEY,OAKSEY,0.666666667
OAKLEY,OAKES,1
OAKSEY,OAKTON,0.333333333
OAKSEY,OAKLEY,0.666666667
OAKSEY,OAKES,1
OAKTON,OAKSEY,0.333333333
OAKTON,OAKLEY,0.666666667
OAKTON,OAKES,1
OWEN,BOWEN,1
PALMER,PLUMMER,1
PARKER,PARKIN,1
PARKIN,PARKER,1
PATE,PATEL,1
PATEL,PATE,1
PAYNE,MAYNE,1
PHILIPS,PHILLIPS,0.333333333
PHILIPS,PHILLIP,0.666666667
PHILIPS,FILIPPOU,1
PHILLIP,PHILLIPS,0.333333333
PHILLIP,PHILIPS,0.666666667
PHILLIP,FILIPPOU,1
PHILLIPS,PHILLIP,0.333333333
PHILLIPS,PHILIPS,0.666666667
PHILLIPS,FILIPPOU,1
PITSON,KITSON,1
PLUMMER,PALMER,1
POWELL,POWLS,0.333333333
POWELL,POWLEY,0.666666667
POWELL,POWLES,1
POWLES,POWLS,0.333333333
POWLES,POWLEY,0.666666667
POWLES,POWELL,1
POWLEY,POWLS,0.333333333
POWLEY,POWLES,0.666666667
POWLEY,POWELL,1
POWLS,POWLEY,0.333333333
POWLS,POWLES,0.666666667
POWLS,POWELL,1
PRICE,PRINE,1
PRINE,PRICE,1
PUTLER,BUTLER,1
RAND,RYDER,0.333333333
RAND,RYDE,0.666666667
RAND,REID,1
RASSELL,RUSSELL,1
RAYNAUD,REYNOLDS,1
REID,RYDER,0.333333333
REID,RYDE,0.666666667
REID,RAND,1
REYNOLDS,RAYNAUD,1
RIGHT,WRIGHT,0.25
RIGHT,RIGHTON,0.5
RIGHT,RIGHTEN,0.75
RIGHT,BRIGHT,1
RIGHTEN,WRIGHT,0.25
RIGHTEN,RIGHTON,0.5
RIGHTEN,RIGHT,0.75
RIGHTEN,BRIGHT,1
RIGHTON,WRIGHT,0.25
RIGHTON,RIGHT,0.5
RIGHTON,RIGHTEN,0.75
RIGHTON,BRIGHT,1
ROBIN,ROBINSONS,0.5
ROBIN,ROBINSON,1
ROBINSON,ROBINSONS,0.5
ROBINSON,ROBIN,1
ROBINSONS,ROBIN,0.5
ROBINSONS,ROBINSON,1
ROGERS,ROGGER,0.5
ROGERS,ROGERSON,1
ROGERSON,ROGGER,0.5
ROGERSON,ROGERS,1
ROGGER,ROGERSON,0.5
ROGGER,ROGERS,1
ROSE,ROSIER,1
ROSH,ROSS,1
ROSIER,ROSE,1
ROSS,ROSH,1
ROULSTON,HOUSTON,0.5
ROULSTON,HOURSTON,1
RUSSELL,RASSELL,1
RYDE,RYDER,0.333333333
RYDE,REID,0.666666667
RYDE,RAND,1
RYDER,RYDE,0.333333333
RYDER,REID,0.666666667
RYDER,RAND,1
SANDERSON,ANDERSON,0.5
SANDERSON,ANDERSEN,1
SAUNDERS,SAUNTERS,1
SAUNTERS,SAUNDERS,1
SCOTSON,SCOTT,1
SCOTT,SCOTSON,1
SELWAY,SELWYN,1
SELWYN,SELWAY,1
SHAW,SNOW,1
SHELTON,SHENTON,1
SHENTON,SHELTON,1
SHUNTER,HUNTER,1
SIMPSON,SIMSON,1
SIMSON,SIMPSON,1
SMITH,SMITHSON,0.25
SMITH,SMITHS,0.5
SMITH,SMYTH,0.75
SMITH,SMYTHSON,1
SMITHS,SMITHSON,0.25
SMITHS,SMITH,0.5
SMITHS,SMYTH,0.75
SMITHS,SMYTHSON,1
SMITHSON,SMITHS,0.25
SMITHSON,SMITH,0.5
SMITHSON,SMYTH,0.75
SMITHSON,SMYTHSON,1
SMYTH,SMITHSON,0.25
SMYTH,SMITHS,0.5
SMYTH,SMITH,0.75
SMYTH,SMYTHSON,1
SMYTHSON,SMITHSON,0.25
SMYTHSON,SMITHS,0.5
SMYTHSON,SMITH,0.75
SMYTHSON,SMYTH,1
SNOW,SHAW,1
SPRUCE,SPRUCH,0.5
SPRUCE,BRUCE,1
SPRUCH,SPRUCE,0.5
SPRUCH,BRUCE,1
STEPHEN,STEVENSON,0.25
STEPHEN,STEVENS,0.5
STEPHEN,STEPHENSON,0.75
STEPHEN,STEPHENS,1
STEPHENS,STEVENSON,0.25
STEPHENS,STEVENS,0.5
STEPHENS,STEPHENSON,0.75
STEPHENS,STEPHEN,1
STEPHENSON,STEVENSON,0.25
STEPHENSON,STEVENS,0.5
STEPHENSON,STEPHENS,0.75
STEPHENSON,STEPHEN,1
STEVENS,STEVENSON,0.25
STEVENS,STEPHENSON,0.5
STEVENS,STEPHENS,0.75
STEVENS,STEPHEN,1
STEVENSON,STEVENS,0.25
STEVENSON,STEPHENSON,0.5
STEVENSON,STEPHENS,0.75
STEVENSON,STEPHEN,1
STEWARD,STUART,0.5
STEWARD,STEWART,1
STEWART,STUART,0.5
STEWART,STEWARD,1
STOYLE,BOYLE,1
STUART,STEWART,0.5
STUART,STEWARD,1
TAYLOR,TYLOR,0.5
TAYLOR,TYLER,1
TERNER,TURNER,1
THOMAN,THOMASON,0.333333333
THOMAN,TOMAS,0.666666667
THOMAN,THOMAS,1
THOMAS,THOMASON,0.333333333
THOMAS,TOMAS,0.666666667
THOMAS,THOMAN,1
THOMASON,TOMAS,0.333333333
THOMASON,THOMAS,0.666666667
THOMASON,THOMAN,1
THOMPSON,THOMSEN,1
THOMSEN,THOMPSON,1
THOMSON,TOMSON,1
TILSON,GILLSON,1
TOMAS,THOMASON,0.333333333
TOMAS,THOMAS,0.666666667
