postcode,country,primary_care_trust,longitude,latitude
E16 2RH,England,Newham,0.070872,51.500561
SK14 4PZ,England,Tameside and Glossop,-2.087214,53.46237
TF1 2DP,England,Telford and Wrekin,-2.514202,52.694673
NR4 6HQ,England,Norfolk,1.257937,52.607777
HR3 5FB,Wales,Powys Teaching Health Board,-3.148506,52.084375
TQ9 5TZ,England,Devon,-3.67772,50.429016
SO50 8FF,England,Hampshire,-1.305942,50.969032
DN12 1HT,England,Doncaster,-1.186526,53.475805
AB52 6UH,Scotland,Aberdeenshire Community Health Partnership,-2.587508,57.383146
WR6 6DR,England,Worcestershire,-2.408903,52.24782
HX7 5NR,England,Calderdale,-1.980485,53.732003
BT20 3GL,Northern Ireland,South Eastern,-5.688829,54.661539
M15 6JJ,England,Manchester Teaching,-2.238424,53.463089
BH16 6BX,England,Dorset,-2.076044,50.762684
NN6 0HT,England,Northamptonshire Teaching,-0.755043,52.268239
GL50 4EW,England,Gloucestershire,-2.074898,51.905209
EC1Y 0RA,England,Islington,-0.093836,51.52249
LE12 5QA,England,Nottinghamshire County Teaching,-1.194693,52.793706
FY5 2WF,England,North Lancashire Teaching,-3.016626,53.885423
SK5 6SJ,England,Stockport,-2.152571,53.446736
DT1 2SD,England,Dorset,-2.42341,50.70658
SM1 2SJ,England,Sutton and Merton,-0.198277,51.362212
SY11 1GA,England,Shropshire County,-3.047774,52.86281
IP32 7HH,England,Suffolk,0.741993,52.250598
EH41 3AZ,Scotland,East Lothian Community Health Partnership,-2.788424,55.958824
SY1 4AX,England,Shropshire County,-2.737579,52.723357
DA12 2HH,England,West Kent,0.369874,51.442603
BR1 3DY,England,Bromley,0.029217,51.406415
PO16 7SQ,England,Hampshire,-1.183874,50.854369
KA22 7JH,Scotland,North Ayrshire Community Health Partnership,-4.803091,55.655787
OX29 0QS,England,Oxfordshire,-1.522981,51.791691
ST8 6AY,England,North Staffordshire,-2.173565,53.115445
PA23 7ED,Scotland,Argyll and Bute Community Health Partnership,-4.931222,55.947904
KT13 8XT,England,Surrey,-0.463577,51.37145
B62 0HJ,England,Dudley,-2.026563,52.432582
WA1 3NL,England,Warrington,-2.566629,53.396429
HD2 1NH,England,Kirklees,-1.773227,53.675947
NE28 8QL,England,North Tyneside,-1.544508,54.991667
RM14 3HS,England,Havering,0.260015,51.556161
B11 3LT,England,Heart of Birmingham Teaching,-1.860647,52.453396
MK42 9AP,England,Bedfordshire,-0.469964,52.132224
NG17 4AG,England,Nottinghamshire County Teaching,-1.256191,53.126212
GL7 6DH,England,Gloucestershire,-1.974133,51.659541
SP1 3JJ,England,Wiltshire,-1.799197,51.079707
YO8 8DE,England,North Yorkshire and York,-1.058884,53.778691
M12 4GE,England,Manchester Teaching,-2.193812,53.450415
